,,,,,
,,Chord Intervals / Spellings,,,
,,Name,Notation,Chromatic Interval,Scalar Spelling
,Triads,Major,,"0,4,7","1,3,5"
,,Minor,min,"0,3,7","1,b3,5"
,,Augmented,aug,"0,4,8","1,3,#5"
,,Diminished,dim,"0,3,6","1,b3,b5"
,,Suspended 2nd,sus2,"0,2,7","1,2,5"
,,Suspended 4th,sus4,"0,5,7","1,4,5"
,6ths,Major 6th,maj6,"0,4,7,9","1,3,5,6"
,,Minor 6th,min6,"0,3,7,9","1,b3,5,6"
,7ths,Major 7th,maj7,"0,4,7,11","1,3,5,7"
,,Minor 7th,min7,"0,3,7,10","1,b3,5,b7"
,,Minor Major 7th,m maj7,"0,3,7,11","1,b3,5,7"
,,Augmentd 7th,aug 7,"0,4,8,10","1,3,#5,b7"
,,Augmented-major 7th,M7#5,"0,4,8,11","1,3,#5,7"
,,Half-Diminished 7th,m7b5,"0,3,6,10","1,b3,b5,b7"
,,Diminished 7th,dim7,"0,3,6,9","1,b3,b5,bb7"
,,Dominant 7th,dom7,"0,4,7,10","1,3,5,b7"
,,Dominant 7th Suspended 4th,7sus4,"0,5,7,10","1,4,5,b7"
,,Major 7th Suspended 2nd,M7sus2,"0,2,7,11","1,2,5,7"
,,Major 7th Suspended 2nd,M7sus4,"0,5,7,11","1,4,5,7"
,9ths / 11ths / 13ths,Major 9th,maj9,"0,4,7,11,14","1,3,5,7,9"
,,Minor 9th,min9,"0,3,7,10,14","1,b3,5,b7,9"
,,Major 11th,maj11,"0,4,7,11,14,17","1,3,5,7,9,11"
,,Minor 11th,min11,"0,3,7,10,14,17","1,b3,5,b7,9,11"
,,Major 13th,maj13,"0,4,7,11,14,17,21","1,3,5,7,9,11,13"
,,Minor 13th,min13,"0,3,7,10,14,17,21","1,b3,5,b7,9,11,13"